 2910253.56,
 3053014.07,
 2960908.12,
 3360906.69,
 3672770.58,
 2870074.56,
 2646128.38,
 3205987.75,
 2839668.53,
 2854510.81,
 2851964.27,
 3670713.44,
 3450261.92,
 3281928.01,
 3635839.11,
