 3429767.64,
 2730126.33,
 2571047.47,
 2956600.20,
 3034214.55,
 3385123.97,
 3718882.11,
 2829859.12,
 3304724.93,
 3750110.87,
 3785472.92,
 2630990.50,
 3083466.64,
 3736587.03,
 4133980.95,
