 3095226.29,
 3049391.62,
 2789982.86,
 2995726.01,
 2702515.46,
 2839730.05,
 2739513.01,
 3569547.52,
 3377404.43,
 3314376.75,
 3098702.10,
 3806857.29,
 3548624.65,
 3996341.24,
 4287602.22,
