 1042993.90,
 1119570.18,
 1006260.72,
 1123066.77,
 1081403.07,
 1032392.22,
 1102126.10,
 1103657.33,
 1104834.16,
 1104368.71,
 1082264.74,
 998845.48,
 1106396.27,
 1125883.68,
 1060882.23,
